Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image
tavolsagmero,Távolságmérő,Távolságmérő leírás,arduino.shop,component,szenzor,true,Title,Default Title,,,,,"",0,,1,deny,manual,400.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
ledek,Színes LEDek,"<p>Hagyományos LEDek. A készlet a megfelelő előtét ellenállásokat, melynek segítségével 5V-os tápról biztonságosan működtethetőek.</p>
<p>A csomag tartalma:</p>
<p>- 12 furatszerelt LED</p>
<p><span>- 12 ellenállás</span></p>",arduino.shop,component,LED,true,Color,Piros,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
ledek,,,,,,,,Kék,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,,,,,,,,,,,,,,,,,
ledek,,,,,,,,Zöld,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,,,,,,,,,,,,,,,,,
ledek,,,,,,,,Sárga,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,,,,,,,,,,,,,,,,,
ledek,,,,,,,,Narancs,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,,,,,,,,,,,,,,,,,
ledek,,,,,,,,RGB,,,,,"",0,,1,deny,manual,1050.00,,true,true,"",,,,,,,,,,,,,,,,,,,
ledek,,,,,,,,Fehér,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,,,,,,,,,,,,,,,,,
soros-bluetooth-modul,Soros Bluetooth modul,Arduino-hoz illeszthető Bluetooth modul.,arduino.shop,component,kommunikáció,true,Title,Default Title,,,,,"",0,,1,deny,manual,2400.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
simon-says-1,Simon Says,"<p>Építsd meg a nagy sikerű klasszikus memóriajáték Arduino alapú változatát!</p>
<p>Négy zóna, négy hang, a többit a te kreativitásodra bízzuk!</p>
<p>A készlet minden alkotóelemet tartalmaz.</p>",arduino.shop,kit,"",true,Title,3D nyomtatott házzal és programozóval,,,,,"",0,,1,deny,manual,6500.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
simon-says-1,,,,,,,,"3D nyomtatott házzal, programozó nélkül",,,,,"",0,,1,deny,manual,5500.00,,true,true,"",,,,,,,,,,,,,,,,,,,
simon-says-1,,,,,,,,Ház és programozó nélkül,,,,,"",0,,1,deny,manual,4500.00,,true,true,"",,,,,,,,,,,,,,,,,,,
rotary-encoder,Rotary encoder,Relatív elfordulást érzékelő kapcsoló.,arduino.shop,component,input eszköz,true,Title,Default Title,,,,,"",0,,1,deny,manual,720.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
nyomas-erzekelo,Rezgésérzékelő,12mm-es piezo rezgésérzékelő korong,arduino.shop,component,szenzor,true,Title,Default Title,,,,,"",0,,1,deny,manual,210.00,,true,true,"",,,false,,,,,,,,,,,,,,,,
